Date,Open,High,Low,Close,Volume,SMA_50,EMA_12,EMA_26,RSI,MACD,ADI,OBV,SO_K,SO_D,ADX,BB_High,BB_Low,ATR,VWAP
2020-04-01,410.083201187777,415.87397370477095,396.08883427170827,399.322021484375,6329668,,,,,,-4260943.469929008,6329668.0,,,0.0,,,0.0,403.7616098202848
2020-04-03,410.1797011098153,438.844035533434,401.73482491049555,433.53582763671875,17906762,,,,,,8522949.36323157,24236430.0,,,0.0,,,0.0,419.235276593792
2020-04-07,462.2966990550803,495.49715361465286,436.2382212377793,475.08465576171875,20843608,,,,,,15006862.158413984,45080038.0,,,0.0,,,0.0,442.21720005913033
2020-04-08,479.6207289881877,511.5182213897184,472.91307260558875,494.8697509765625,19456188,,,,,,17682088.008413993,64536226.0,,,0.0,,,0.0,457.55729910167946
2020-04-09,544.3326256091143,588.7285489743966,544.3326256091143,559.3886108398438,27207708,,,,,,8928274.81490596,91743934.0,,,0.0,,,0.0,489.16855674544485
2020-04-13,583.902850682171,583.902850682171,562.6700197482738,572.176513671875,15483858,,,,,,7309473.476371702,107227792.0,,,0.0,,,0.0,501.2618829137624
2020-04-15,583.3720625008674,592.5890299309783,558.4234499194762,571.6939697265625,16213806,,,,,,3691129.5524621787,91013986.0,,,0.0,,,0.0,510.8468187636563
2020-04-16,569.4259889916142,591.4309137340006,561.7049586324059,579.5115966796875,12716342,,,,,,6209641.975511322,103730328.0,,,0.0,,,0.0,517.0764204815645
2020-04-17,593.55416084213,593.55416084213,574.2515865058006,577.14697265625,8304173,,,,,,396720.8755113371,95426155.0,,,0.0,,,0.0,520.788381310206
2020-04-20,577.1469253984436,578.4981290540605,559.7746099182228,564.986328125,5856150,,,,,,-2199293.7455362948,89570005.0,,,0.0,,,0.0,522.618045765
2020-04-21,557.8444062168654,588.5354880647412,550.1233763730334,571.4526977539062,14471856,,,,,,-599402.8924025642,104041861.0,,,0.0,,,0.0,526.7823912579794
2020-04-22,574.1551980539303,578.836049590024,564.6003985163219,566.7236938476562,6182243,,532.8718383803213,,,,-4937441.137577703,97859618.0,,,0.0,,,0.0,528.3470404688276
2020-04-23,569.4259408043263,582.8412534809036,558.8577696131268,566.2410278320312,6277840,,538.0055598344305,,,,-7350045.041562296,91581778.0,,,0.0,,,0.0,529.7979834616319
2020-04-24,565.9514268672037,584.8679236059404,563.2490196987208,578.4015502929688,11127889,,544.2203275972826,,87.08346859485874,,-2879023.0842323657,102709667.0,92.32644494487622,,0.0,,,34.17246037214408,532.4980616004905
2020-04-27,579.0772451175636,610.5887221020911,579.0772451175636,587.473876953125,14089786,,550.8747198058737,,88.05671087363262,,-9460005.49867291,116799453.0,88.93252869121169,,0.0,,,34.030654046213954,536.6652558140045
2020-04-28,595.2914301023837,599.5862650296275,572.562658718433,577.72607421875,8193422,,555.0056974078547,,80.99505868566686,,-14522384.094009846,108606031.0,81.15138888593361,87.47012084067383,0.0,,,33.53015063656971,538.4787348759954
2020-04-29,583.9028842374214,586.7017811295372,569.5224425339849,575.4580078125,6767183,,558.152206700877,,79.39956278662746,,-16613361.869373659,101838848.0,74.48298633921928,81.52230130545486,0.0,,,32.362235490782744,539.6847377717024
2020-04-30,586.701821159942,590.1280166190356,565.6619661917429,569.0399169921875,9099721,,559.8272390533863,,74.90309284861168,,-23200343.027925193,92739127.0,37.29059315423479,64.30832279312922,0.0,,,31.798222271962032,541.1010871458287
2020-05-04,568.4608683681562,595.4362303547598,560.3537628117357,590.5140380859375,16815950,,564.5482850583942,,79.15634948865099,,-11103065.623083673,109555077.0,66.79968703708855,59.524422176847544,0.0,,,32.03281121989504,543.9343512968542
2020-05-05,601.3234065451418,601.3234065451418,574.2515591112528,576.0853271484375,9257154,,566.3232146107085,,70.50971390650416,,-19106114.36396154,100297923.0,42.93690950141654,49.00906323091329,0.0,654.3269564110514,444.35628943855806,31.678456663751746,545.3984990637066
2020-05-06,576.664419428024,584.8680136793013,569.4259539121911,571.1149291992188,6978135,,567.0604014704793,,67.76367515158722,,-24557782.332711533,93319788.0,34.71666716377927,48.15108790076146,0.0,637.432409344887,478.4301272762068,30.518714028277348,546.1979243975188
2020-05-07,577.146987836554,580.8144652755633,567.0131360434373,568.9916381835938,4620871,,567.3575148109585,,66.5709361571121,,-27853794.978980534,88698917.0,31.205083809672008,36.286220158289275,0.0,620.0806774048586,509.32744027092264,29.32461511426654,546.6539796088456
2020-05-08,577.147089461511,580.2355137617274,568.9434937082955,571.2598266601562,5051303,,567.9578704800658,,67.23440543890538,,-30832749.624413602,93750220.0,34.95630436288962,33.62601844544697,0.0,606.6118926508034,532.4137421148216,28.036572609921205,547.1572426764515
2020-05-11,579.9941508492424,579.9941508492424,563.1043972363162,565.6137084960938,5853892,,567.5972301748393,,63.837911956472624,,-34947215.763531946,87896328.0,25.61852898761519,30.59330572005894,0.0,587.7134885172408,558.3865420003373,27.240371252992986,547.6341733820918
2020-05-12,566.5305845907728,573.0934484060381,546.4559180765793,550.2681884765625,8868938,,564.9312237597197,,55.61463959779052,,-41277570.83947655,79027390.0,5.944337625510119,22.173056992004977,0.0,589.3469389303616,555.8410493508884,27.197311187026255,547.9143720389146
2020-05-13,579.0772944620819,583.9029385825993,549.0618115951795,550.3164672851562,10438589,,562.68279968671,540.6175009908566,55.634002741404494,22.06529869585347,-50964356.656479195,89465979.0,6.019617054387959,12.52749455583776,0.0,590.8686278520114,552.1333557905667,27.743298029911507,548.3816543268667
