Date,Open,High,Low,Close,Volume,SMA_50,EMA_12,EMA_26,RSI,MACD,ADI,OBV,SO_K,SO_D,ADX,BB_High,BB_Low,ATR,VWAP
2020-04-01,556.5842767935467,559.348136063445,521.1808514849981,528.9020385742188,13083824,,,,,,-7790146.230558555,13083824.0,,,0.0,,,0.0,536.477008707554
2020-04-03,529.5163062445414,531.7098286399206,510.7836464091201,513.8984375,10221655,,,,,,-14968884.029810254,2862169.0,,,0.0,,,0.0,528.7227874726336
2020-04-07,539.6064923067048,565.27070352617,537.7639549736033,560.664306640625,15145605,,,,,,-4895973.650068063,18007774.0,,,0.0,,,0.0,538.9023694426926
2020-04-08,552.7676757954623,575.2732383025387,549.565111490767,554.1715087890625,11806896,,,,,,-12471736.496426374,6200878.0,,,0.0,,,0.0,543.7812105260149
2020-04-09,567.508118894058,572.7725727864942,554.6101961470306,558.25146484375,11931114,,,,,,-19618851.927561343,18131992.0,,,0.0,,,0.0,547.2531342042925
2020-04-13,551.8901810581891,571.8073731837242,549.3018141725573,559.2604370117188,8330276,,,,,,-20576898.089683864,26462268.0,,,0.0,,,0.0,548.773443700541
2020-04-15,571.5442238165838,573.2112687259752,557.681119264419,560.7081909179688,11963447,,,,,,-27876615.177477796,38425715.0,,,0.0,,,0.0,550.9626182239361
2020-04-16,543.9496584168159,557.0669321860213,529.5162712972444,547.3715209960938,17783287,,,,,,-22609636.259490386,20642428.0,,,0.0,,,0.0,549.843285852082
2020-04-17,565.051322921844,566.8061406948931,549.257962964401,551.6708374023438,8878320,,,,,,-29046418.259490322,29520748.0,,,0.0,,,0.0,550.336914847084
2020-04-20,561.5417146292014,579.967302140472,560.6643057000932,573.2112426757812,13322913,,,,,,-25049559.144328065,42843661.0,,,0.0,,,0.0,552.6153636754792
2020-04-21,550.8372879768106,567.2448448572532,550.8372879768106,555.5753173828125,11660575,,,,,,-29975658.360581674,31183086.0,,,0.0,,,0.0,553.073556994933
2020-04-22,555.5753616543997,565.9287766247277,551.0566841098449,563.1649169921875,8266728,,553.0177091271341,,,,-24781541.12998418,39449814.0,,,0.0,,,0.0,553.478582054761
2020-04-23,567.7274853987079,599.8406870808052,559.8746641013657,596.02392578125,14451289,,559.6340501508442,,,,-13090452.74400391,53901103.0,,,0.0,,,0.0,556.4055709265361
