Date,Open,High,Low,Close,Volume,SMA_50,EMA_12,EMA_26,RSI,MACD,ADI,OBV,SO_K,SO_D,ADX,BB_High,BB_Low,ATR,VWAP
2020-04-01,760.7542201439759,765.9871918187101,722.7565914485206,730.1109619140625,4104403,,,,,,-2707924.5822403184,4104403.0,,,0.0,,,0.0,739.6182483937646
2020-04-03,745.9040166467607,745.9040166467607,719.2208220856751,730.3938598632812,4268480,,,,,,-3401728.530332391,8372883.0,,,0.0,,,0.0,735.6526908460795
2020-04-07,759.0099080007254,766.552863608186,745.8097356876693,755.851318359375,5768998,,,,,,-3585274.7535435003,14141881.0,,,0.0,,,0.0,743.9822015612908
2020-04-08,758.0671176507688,784.4674650316414,752.1270509997105,760.989990234375,6151091,,,,,,-6364934.224802691,20292972.0,,,0.0,,,0.0,750.6141315003691
2020-04-09,786.6831450830971,786.6831450830971,758.4442495687423,766.3643188476562,6410296,,,,,,-9179481.347688364,26703268.0,,,0.0,,,0.0,755.3872026088454
2020-04-13,766.3643072024106,822.5593631329441,761.7914132116539,816.0064086914062,9462711,,,,,,-1757606.4843938462,36165979.0,,,0.0,,,0.0,767.0911483217614
2020-04-15,840.0496175775231,873.6628817256625,819.3536199259132,829.8666381835938,10435477,,,,,,-8152949.017712079,46601456.0,,,0.0,,,0.0,783.6328551859683
2020-04-16,825.9065047522856,867.2513070411804,820.4378734617542,859.5669555664062,6980512,,,,,,-3464117.1437113453,53581968.0,,,0.0,,,0.0,792.1598306369006
2020-04-17,876.8685000896979,886.2971936390495,863.6683291206058,879.6028442382812,5827648,,,,,,-1084482.353997814,59409616.0,,,0.0,,,0.0,800.4352186746686
2020-04-20,887.0515190956024,889.1258432830996,858.9540225142139,863.2911987304688,4958362,,,,,,-4617322.844857803,54451254.0,,,0.0,,,0.0,805.8291032914346
2020-04-21,845.753897701611,854.805421413592,813.6963363617506,820.6264038085938,5122305,,,,,,-8012616.937729284,49328949.0,,,0.0,,,0.0,807.5893795827088
2020-04-22,823.1250010201162,834.9108687323171,801.4390044296664,803.8904418945312,6090168,,807.4335707649544,,,,-13210712.367911968,43238781.0,,,0.0,,,0.0,808.0586741672026
2020-04-23,810.8677404575386,819.8250003811975,787.296003816331,792.5760498046875,6321888,,805.1477983095288,,,,-17480286.254460856,36916893.0,,,0.0,,,0.0,807.4288456051283
2020-04-24,790.1246072278044,819.353560478475,786.494582827237,802.5704956054688,7960368,,804.7512902012118,,57.18942115376821,,-17651599.8895387,44877261.0,49.056627598394435,,0.0,,,38.37476603474577,807.0193558609424
2020-04-27,812.7062129348569,824.916382004045,803.5603691219274,806.3889770507812,4224177,,805.0032420242225,,58.222061158110016,,-20756790.810907204,49101438.0,51.30404878606819,,0.0,,,37.22984606073366,807.2259946605461
2020-04-28,814.4506505809771,818.1278645960301,803.4190660840046,808.1806030273438,3772704,,805.4920667939334,,58.72512712672713,,-22086892.9277423,52874142.0,43.51978879843871,47.96015506096711,0.0,,,35.621199807254506,807.329437321162
2020-04-29,812.7534749982115,832.6008656332524,805.2105193137734,825.3407592773438,4837925,,808.5457117913812,,63.28525495471499,,-19813656.203839816,57712067.0,53.44113408400485,49.42165722283725,0.0,,,35.03328170098483,807.97582601281
2020-04-30,839.3423935189301,864.4226977985187,833.5908553613332,846.2724609375,6332497,,814.3498270446303,,67.93837993324516,,-20936848.607147645,64044564.0,67.2077902269327,54.72290436979208,0.0,,,35.32247147385555,810.3059797888743
2020-05-04,829.7250738140425,829.7250738140425,796.724644741893,802.0518798828125,4678576,,812.4578351735814,,52.73316316695116,,-24104906.400116403,59365988.0,31.617895213862415,50.75560650826666,0.0,,,36.338567525409225,810.2728394164227
2020-05-05,811.8105940370937,820.1078336627953,787.2959884099573,789.0874633789062,4296433,,808.862393359016,,49.25282242386261,,-27932182.47730662,55069555.0,2.526404275025318,33.78402990527348,0.0,885.0627777972813,723.8402251324062,36.08665879165414,809.8562338148414
2020-05-06,790.1245586650788,799.5532526825618,770.8899998501408,789.4645385742188,5081524,,805.8781080075088,,49.35751421511294,,-26427785.13284775,60151079.0,15.709735884456997,16.61801179111491,0.0,880.9213438613672,733.9170167343359,35.55641550885177,808.8976031930727
2020-05-07,785.410297417794,788.2860378975014,773.2472577878473,775.8401489257812,3529134,,801.2568835333968,,45.6898134427078,,-28739977.305590466,56621945.0,4.186673796975288,7.474271318819201,0.0,875.9846425378502,743.3983469641029,34.17504874296032,808.0677427965403
2020-05-08,785.4102634359438,787.1545489249008,763.7242657660437,769.3343505859375,4394509,,796.3457246184031,,44.00813929037547,,-31030067.160108037,52227436.0,4.473695571437915,8.1233684176234,0.0,874.7003214618794,746.03097126273,33.407565486952954,806.9050208174021
2020-05-11,774.2843247757046,780.2243901944374,769.7113738813075,774.6614379882812,2882920,,793.0096805214613,,45.76828927836344,,-31198135.70544914,55110356.0,10.861313330787862,6.507227566400355,0.0,873.5348038944267,748.5636336055734,31.79917078134917,806.2151667730118
2020-05-12,770.3243854554449,772.4458418413382,758.0670818925064,768.2500610351562,3024381,,789.200508292799,,43.976481455871614,,-29938808.130854197,52085975.0,9.574463046360123,8.3031573161953,0.0,873.3642284119854,748.9227833067645,30.71311258952243,805.3324687086373
2020-05-13,814.3563348124752,822.1350075776118,801.9104468786202,813.60205078125,8625444,,792.9545917525606,789.109637368714,56.846347487090505,3.844954383846698,-28591696.85677665,60711419.0,52.21630133553126,24.217359237559748,0.0,873.2152474878696,748.8313284398648,32.36824358616051,805.7601585918404
2020-05-14,809.8305874556333,829.3479388834184,793.424636131327,821.8521728515625,6778584,,797.4003734600994,791.5350103674434,58.70480189363356,5.865363092656025,-24641955.184662193,67490003.0,59.973411291627265,40.58805855783955,0.0,872.4257692498703,748.8193601446609,32.622176383726995,806.1657818449229
2020-05-15,831.5638289393974,834.439569618841,805.2106129429268,815.0164794921875,5653901,,800.1105436188823,793.2743784507578,56.53240730837936,6.836165168124467,-26502262.092101406,61836102.0,53.546206389334394,55.24530633883097,19.25754521421874,866.0538586209541,750.7362231661552,32.37980354745465,806.5972788039965
2020-05-18,820.2021237363261,820.2963876581636,763.7242229920832,766.8828125,6211249,,794.9985849852081,791.3194476395905,44.14461582996624,3.679137345617619,-32019926.675162114,55624853.0,8.28891876784783,40.602845482936495,18.03427309251358,853.0384980942426,752.4795805190386,34.107829341642194,805.7285864775245
2020-05-19,779.8472371930709,786.1644735164207,746.4696958405654,750.85400390625,5533176,,788.2071109730607,788.3220073630467,40.92831097142455,-0.11489638998602913,-36330818.55689592,50091677.0,3.716995746532608,21.850706967904944,17.396435059791877,844.1222923486891,750.1520667821703,34.506897079800275,804.2756581876021
2020-05-20,754.2955300336827,792.9531759479089,754.2955300336827,787.2959594726562,5949898,,788.0669338191524,788.2460038156104,49.8707464905759,-0.17906999645799715,-32122354.117871538,56041575.0,34.61231418819185,15.539409567524098,16.57579041263852,841.3565247756854,749.5847899215802,35.04920243421875,803.391856274133
2020-05-21,788.1917964565606,796.7247542079667,771.3615407884611,773.6244506835938,4701930,,785.8450133367587,787.1629258058314,46.99639154369146,-1.3179124690726667,-35985270.24788309,51339645.0,30.86824349830353,23.065851144342663,15.683419942748388,840.6223909720845,747.2923246040873,34.35734607602496,802.7969424356451
2020-05-22,768.4386126784765,779.281611507682,763.8185292884975,769.0986328125,4607479,,783.2686471022573,785.8248300285476,46.05017374819651,-2.556182926290262,-37446162.330756746,46732166.0,25.723507378184863,30.401355021560082,15.099945380605558,840.6930169936838,744.8739568832693,33.00775580053635,801.9982886915636
2020-05-26,774.9444252883872,794.5560983720069,774.0958197626745,778.3858642578125,4335209,,782.5174497415735,785.2737955270117,48.348356809804216,-2.756345785438157,-39963386.35989329,51067375.0,36.280793692725425,30.95751485640461,14.040494861611199,839.6551799276992,743.4933308144882,32.46844935474853,801.5482589388583
2020-05-27,784.420339452471,808.2277957666204,779.7531236357027,802.2405395507812,5159287,,785.5517712506824,786.5305913806242,53.7930543044759,-0.9788201299418233,-36973744.932493776,56226662.0,63.3976625347718,41.80065453522736,13.521345006660168,839.2256042579105,743.5080627342769,32.28084093718134,801.42071117314
2020-05-28,806.1533443760569,859.8969006677941,806.1533443760569,853.7682495117188,11481079,,796.0466140600726,791.5111586495941,62.892304607344016,4.535455410478448,-28111157.63424817,67707741.0,94.59684194333236,64.75843272360987,14.436155694623267,848.3447201754893,738.9477114651356,34.09337809288358,803.5679658232289
2020-05-29,842.1710104841022,883.9401159186758,840.0966861691095,878.9900512695312,10166556,,808.8071428615277,797.9910766214414,66.3820193044572,10.816066240086343,-20240275.569732033,77874297.0,96.39917834954463,84.79789427588294,15.786174543922641,861.2821187140369,731.3752421258068,34.78981035407521,806.5836523707146
2020-06-01,890.6816749929625,918.4963245808774,871.2113972621477,875.1243286132812,7617144,,819.009786823336,803.7046508430592,65.36734640101835,15.30513598027676,-26596748.854821447,70257153.0,74.78762661037226,88.59454896774974,17.65085595171744,868.1523752152996,727.3901723921224,35.68231870869339,809.3649031346628
