Date,Open,High,Low,Close,Volume,SMA_50,EMA_12,EMA_26,RSI,MACD,ADI,OBV,SO_K,SO_D,ADX,BB_High,BB_Low,ATR,VWAP
2020-04-01,359.34606543506163,359.5120552725574,338.7645919102559,343.20452880859375,8136746,,,,,,-4654234.60408201,8136746.0,,,0.0,,,0.0,347.1603919971357
2020-04-03,347.64440889415613,355.6944329073166,331.3783963960458,336.7727355957031,8166356,,,,,,-9197294.984441187,-29610.0,,,0.0,,,0.0,344.21578512707276
2020-04-07,352.7068226320229,380.05198524667793,352.7068226320229,374.4086608886719,5972948,,,,,,-5689666.60330781,5943338.0,,,0.0,,,0.0,350.87622331381897
2020-04-08,374.28421215851665,395.6955826791168,372.6244152088115,384.32598876953125,7991061,,,,,,-5574680.24007385,13934399.0,,,0.0,,,0.0,359.67834606386606
2020-04-09,398.9321608375323,399.18112022058796,383.41305102268535,389.2638244628906,5069225,,,,,,-6882013.201146261,19003624.0,,,0.0,,,0.0,364.117029772771
2020-04-13,390.0522711338141,390.88216958303497,376.77389594628,380.30096435546875,2236731,,,,,,-8000378.701146256,16766893.0,,,0.0,,,0.0,365.2204401052234
2020-04-15,390.05229198963775,400.0110739127774,383.9940431169913,397.31390380859375,6333188,,,,,,-3800131.0139374053,23100081.0,,,0.0,,,0.0,369.3389597486311
2020-04-16,392.5418356002965,395.031530117846,379.01450551887075,381.5456848144531,10484842,,,,,,-10971122.201777142,12615239.0,,,0.0,,,0.0,372.39592262629
2020-04-17,390.0522187435647,394.201710432326,376.4833758560177,377.81121826171875,4706460,,,,,,-14972161.820214631,7908779.0,,,0.0,,,0.0,373.2270476506374
2020-04-20,380.09349508082613,393.039916135777,376.35895200688793,390.0522766113281,4800719,,,,,,-11891105.750888154,12709498.0,,,0.0,,,0.0,374.2230296772432
2020-04-21,380.0934178065945,385.86122106766015,371.6699552065272,378.1846618652344,3405204,,,,,,-12169893.067537367,9304294.0,,,0.0,,,0.0,374.4430620948265
2020-04-22,375.9440154229929,389.5958556942259,373.45431995661545,383.74505615234375,3768051,,375.85455368339024,,,,-11133442.26010396,13072345.0,,,0.0,,,0.0,374.85776755676835
2020-04-23,385.90278429931016,398.9736850578352,383.74504323577924,396.4425048828125,3052968,,379.0219307909937,,,,-9095352.95603424,16125313.0,,,0.0,,,0.0,375.60720580939164
2020-04-24,398.35121892003764,412.3764963542163,386.0272230194013,388.4754333496094,6738184,,380.4763158000115,,61.27244115256531,,-14581396.795201318,9387129.0,70.49182262676528,,0.0,,,20.700059905787242,377.27537835570104
2020-04-27,392.62493572798405,403.08166056996726,387.7700250520823,400.9239196777344,2914569,,383.6221010119689,,65.95447901583891,,-12488279.521529114,12301698.0,85.8606847785364,,0.0,,,20.31517244950851,377.97058245679597
2020-04-28,405.82032551003255,405.82032551003255,389.5958216043889,390.96514892578125,4262237,,384.7518006910169,,59.732878596675135,,-16031061.84873395,8039461.0,64.11686859874457,73.48979200134875,0.0,,,20.022981839232447,378.817314812371
2020-04-29,394.035751022175,415.77909927872395,390.21823863529835,408.1025390625,3849090,,388.3442219789374,,65.72474530362678,,-14493926.174126768,11888551.0,82.59644257966296,77.52466531898132,0.0,,,20.41854461096053,379.9015042510393
2020-04-30,420.3435800457761,469.30759035713004,415.7791384065821,451.09130859375,8035267,,397.99761991967785,,75.5522856636239,,-11927626.886894373,19923818.0,81.34297114500774,76.01876077447176,0.0,,,23.331866516936923,385.1679055884037
2020-05-04,437.77142277607715,437.77142277607715,421.75439317287555,426.7752685546875,7032527,,402.4249504789101,,64.31857843384412,,-14551166.382848062,12891291.0,56.43859897176141,73.45933756547737,0.0,,,23.760798581503888,388.0346071987554
2020-05-05,436.5265920452101,439.76321631586376,427.93716320437284,431.8791809082031,4592828,,406.9563705449552,,65.47884002446781,,-16082109.049514743,17484119.0,61.666001648652355,66.48252392180717,0.0,441.8990981815844,339.2593826533766,22.99130923719477,389.89392655754096
2020-05-06,425.0739333497521,437.10745909492545,420.0945433862321,430.8002014160156,6921533,,410.62465221742605,,64.99766157866118,,-14292664.271379052,10562586.0,60.56091600158275,59.55517220733217,0.0,444.27099280855396,345.6470552871492,22.564281128016095,392.19817699192595
2020-05-07,439.84611447869594,449.6389046327211,421.2148868574469,424.7004699707031,19998641,,412.7901626410071,,62.21425100532916,,-29386514.82909958,-9436055.0,54.31360016286557,58.84683927103356,0.0,442.41512844661355,356.29569308658955,22.98283374567739,397.92515439138856
2020-05-08,432.25260161602387,433.6219543646846,416.94098990660126,430.2193908691406,10120968,,415.4715823684122,,63.72775012656144,,-23394473.108260967,684913.0,59.96605261106831,58.28018959183888,0.0,445.6090338855649,358.68286064568514,22.532700225134956,399.90059404462505
2020-05-11,436.5265643216617,443.91268044304877,432.5430620782196,437.8128967285156,4425540,,418.908707654582,,65.75992771282624,,-23717524.653518267,5110453.0,67.74328507646166,60.67431261679852,0.0,450.11209631433917,359.52848901280925,21.90131375004733,401.00509857687837
2020-05-12,436.07001237977437,448.14502086698616,431.54705713117187,437.6883239746094,6439945,,421.79787939612464,,65.69490213069477,,-25391894.63099628,-1329492.0,67.01284551856989,64.90739440203329,0.0,454.09830916703476,360.3847261112856,21.522503034744968,402.54472035041533
2020-05-13,448.02065994748693,448.02065994748693,432.83352837609414,438.8088073730469,3502017,,424.4149452387281,404.80328271897935,66.02037036423003,19.611662519748734,-26138219.612565655,2172525.0,64.35498473318279,66.37037177607145,0.0,457.23566066918767,363.0981589108905,21.069976501648387,403.3472323608442
2020-05-14,431.04922010440595,437.81286121574414,426.8581929451213,429.430908203125,3741672,,425.18663184863533,406.6275512733605,60.81948260327907,18.559080575274834,-28122420.476600725,-1569147.0,52.117547714106216,61.1617926552863,0.0,459.16825203201,364.3772679875213,20.418593496382474,403.97616027972595
2020-05-15,429.8459750889566,429.8459750889566,419.3062531039884,424.28564453125,4895121,,425.04801841519145,407.9355581813523,58.11446242134069,17.11246023383916,-28392234.74126719,-6464268.0,44.78379915141657,53.75211053290186,60.91685020548853,459.479977035036,368.3395389561749,19.712959816995742,404.5610579576157
2020-05-18,427.14868350772304,430.42679206427414,421.17340536019526,423.8705749511719,5159655,,424.8668732668807,409.1159297939315,57.89077831303688,15.750943472949189,-30544025.69948969,-11623923.0,42.9983600703934,46.6332356453054,59.8115332083284,458.8114685417577,373.61398311839855,18.965847451787393,405.16227426782416
2020-05-19,424.9079232995658,431.9620587449688,420.09452336153225,430.09478759765625,3966934,,425.67116777930767,410.6699192608741,60.355041411914684,15.001248518433556,-27825428.639244083,-7656989.0,50.41961793113351,46.06725905098116,58.84571805219607,459.44939225077303,376.98031050801603,18.4588251611909,405.65004920916135
2020-05-20,427.43907578407965,438.72572217127777,427.3975910029255,437.1488952636719,3138708,,427.4369720076714,412.63132489071097,62.99792642068162,14.805647116960415,-25560509.820524856,-4518281.0,39.92223962843564,44.44673920998752,58.21228632324158,458.8026159388654,383.5235101597674,17.949489875988142,406.14125599444617
2020-05-21,439.6801778465104,446.0704058846635,434.36885828916024,443.87115478515625,4523685,,429.9653078195921,414.9453863643736,65.36730501882627,15.019921455218537,-22737235.66428327,5404.0,82.36049639288633,57.567451317485165,57.88965532751349,458.8636687000292,389.4750672618848,17.503208284524938,406.9888135027524
2020-05-22,442.87536230948973,443.9957050423276,434.03692287315386,440.1781921386719,6410434,,431.5365207917582,416.8144830883957,62.98133710668839,14.722037703362503,-21241441.64682718,-6405030.0,71.06631241382559,64.44968281171585,57.55050089704116,459.2509407108738,393.4613639766262,16.964320704856995,408.0555446890988
2020-05-26,439.846181505509,445.24052146736904,431.75467156271895,434.8667907714844,4055691,,432.0488700194084,418.1516910649208,59.611176474287255,13.897178954487629,-23425275.262211785,-10460721.0,54.82245890917188,69.41642257196126,56.95123194832445,456.7478049302748,400.6036354994127,16.715858504842213,408.65174902529105
2020-05-27,439.5971181425286,443.08270096266403,428.227501857954,440.6344909667969,4828798,,433.3697347805451,419.8170836502449,61.98975572121441,13.552651130300205,-20188096.660685554,-5631923.0,72.46181066485165,66.11686066261638,55.95294020795281,456.0943492296657,405.2281483289281,16.58295426197563,409.3312931444799
2020-05-28,440.67608402774204,453.12456097767824,434.0368963211094,450.34442138671875,4492767,,435.98122502764875,422.07836792702074,65.6566409439837,13.902857100628012,-17004082.68358171,-1139156.0,92.3165693471815,73.20027964040167,55.48542310274918,452.96704271657313,414.2933820881144,16.761862147303717,410.1191248848283
