Date,Open,High,Low,Close,Volume,Fib_23.6,Fib_38.2,Fib_61.8,ROC,CCI,MFI,Williams_R,Keltner_hband,Keltner_lband,Keltner_mband,Donchian_hband,Donchian_lband,Donchian_mband,VWAP,ROC_10,ROC_20,PVT,PVI,Mass_Index,Vortex_Pos,Vortex_Neg,Vortex_Diff,KST,KST_Signal,KST_Diff,DPO,STC,Coppock_Curve,PPO,PPO_Signal,PPO_Hist,PVO,PVO_Signal,PVO_Hist,NATR,CMO,Ichimoku_Conversion,Ichimoku_Base,Ichimoku_A,Ichimoku_B,Close_Lag_1,Volume_Lag_1,Close_Lag_2,Volume_Lag_2,Close_Lag_3,Volume_Lag_3,Close_Lag_5,Volume_Lag_5,Close_Lag_10,Volume_Lag_10,Pct_Change_1,Pct_Change_2,Pct_Change_3,Pct_Change_5,Pct_Change_10,Pct_Change_20,Volatility_10,Volatility_20,Volatility_50,Momentum_5,Momentum_10,Momentum_20,TR,ADX,TRIX,Average_Sentiment,Nifty_Close
2020-07-17,149.3871426388726,153.52708073679955,148.63895995453768,151.232666015625,2222846,160.14998315429688,155.45289385986328,147.86033856201172,-3.837604901270676,-116.73580485751108,49.7405974624834,-74.85261042065552,164.45137156714182,151.47289787662345,157.96213472188265,170.2364805357178,144.84816820660134,157.54232437115957,148.23891200451868,-5.249995411244287,-0.7203575483281843,1507820.571289661,1343.082440740213,24.457672747178155,0.900949101257806,1.107354635905302,-0.206405534647496,57.66781708444231,85.12557033265534,-27.45775324821304,0.491318511962902,0.0,-0.0467890470475787,0.1783175448923462,1.4094886894615413,-1.231171144569195,-19.16023938713111,-11.235359273593334,-7.924880113537776,4.349781390357568,-20.55478551305084,157.54232437115957,155.44741371940995,156.49486904528476,148.61399789996844,148.53919982910156,1473784.0,147.3919677734375,2180415.0,149.3871307373047,2352010.0,159.31300354003906,1950837.0,159.6123046875,4481657.0,0.0181330328265019,0.0260577173926546,0.0123540446169065,-0.0507198869198601,-0.0524999541124429,-0.0072035754832818,0.023609262318551,0.0215646994298697,0.0188769172540692,-8.080337524414062,-8.379638671875,-1.097320556640625,4.987880907697985,19.953349189983783,0.2279745009939481,0.0,10901.7001953125
2020-07-20,152.77888458209603,161.5076817963937,151.7314410938318,160.3105926513672,6329853,160.14998315429688,155.45289385986328,147.86033856201172,1.5802684663819495,-5.064114501890824,61.07091526060581,-39.09628870039995,164.98091982213754,151.28419107696106,158.13255544954933,170.2364805357178,144.84816820660134,157.54232437115957,148.45257937678332,-2.1315543939898665,3.912079830031528,1887777.7767197085,1423.7026148336429,24.333946796601527,0.9504087168668102,1.0134189120417127,-0.0630101951749025,51.72732116748199,80.01559460643801,-28.288273438956026,1.9851890563964787,0.0204173847235671,-0.0443620767481786,0.4684692581426485,1.2212848031977628,-0.7528155450551143,-9.432533318842289,-10.874794052265564,1.4422607334232769,4.26817845590586,9.834267366027802,156.96871404864612,156.3202810813632,156.64449756500466,149.96073992230217,151.232666015625,2222846.0,148.53919982910156,1473784.0,147.3919677734375,2180415.0,155.671875,2585981.0,163.8021240234375,3515662.0,0.0600262289550874,0.0792477193616831,0.0876480928580005,0.0297980457379805,-0.0213155439398986,0.0391207983003152,0.0301161905767775,0.02531630090104,0.020469097246135,4.638717651367188,-3.4915313720703125,6.035369873046875,10.275015780768712,19.673040350668312,0.1980976180622958,0.0,11022.2001953125
2020-07-21,161.05879169555928,167.692687388082,158.71449505200704,166.89462280273438,6517373,160.14998315429688,155.45289385986328,147.86033856201172,4.562504206359404,99.0964702306008,68.39751648909575,-13.162977080405703,165.44978107384537,151.47871868205738,158.46424987795135,170.2364805357178,144.84816820660134,157.54232437115957,148.81020901919163,-0.5054863585815744,6.424939011195163,2155449.298794519,1482.174739398925,24.24648883439649,1.021253638516207,0.8888282997748457,0.1324253387413613,46.820417495486375,74.0868098083032,-27.266392312816823,5.67123184204101,4.307906259901402,-0.0303362503288067,1.0245581803652295,1.1819394786312565,-0.1573812982660265,-2.0226653549514126,-9.104368193476269,7.081702838524855,4.191209270965845,19.127872973830915,156.27042779734165,156.3202810813632,156.29535443935242,151.55686143649018,160.3105926513672,6329853.0,151.232666015625,2222846.0,148.53919982910156,1473784.0,149.3871307373047,2352010.0,167.74253845214844,8172143.0,0.0410704622974333,0.1035619962256779,0.1235729221293182,0.1171954503645724,-0.0050548635858157,0.0642493901119516,0.0321481135876358,0.0266090700099514,0.0210088983242868,17.507492065429688,-0.8479156494140625,10.075531005859377,8.978192336074954,20.16899227325266,0.186746421308343,0.0,11162.25
2020-07-22,166.5953387910679,171.58322318601006,161.60745439612575,168.98951721191406,4611051,161.1026749267578,156.22352673339844,148.33668444824218,3.1668656431673186,129.5018575346756,70.03528957996706,-9.701517262985483,166.0084243866767,151.98748310385943,158.99795374526803,171.58322318601006,144.84816820660134,158.21569569630572,149.0998402705781,3.926389590861224,9.431523883960994,2213328.125554324,1482.174739398925,24.328421263563804,1.048994455002379,0.8746777942370043,0.174316660765375,46.301944906696,68.2566404419671,-21.95469553527109,8.883415222167969,13.241337699083742,-0.0139230410778606,1.548234942768561,1.2551985714587173,0.2930363713098438,-0.4007664660557869,-7.363647754132711,6.962881288076924,4.2652479363478975,21.53844524701922,158.21569569630572,157.3428092105244,157.77925245341504,152.2302327616363,166.89462280273438,6517373.0,160.3105926513672,6329853.0,151.232666015625,2222846.0,147.3919677734375,2180415.0,162.60501098632812,3650115.0,0.0125521983512661,0.0541381852378353,0.1174141252952221,0.1465313867827253,0.0392638959086122,0.09431523883961,0.0304387291392545,0.0263044427567879,0.0210330677299654,21.59754943847656,6.3845062255859375,14.564620971679688,9.975768789884311,21.041985727146702,0.1904912437685783,0.0,11132.599609375
2020-07-23,167.94207882668817,170.28637543125373,164.99921476579647,169.53819274902344,2199241,161.52186303710937,156.56260821533203,148.54627850341797,1.0704823674689068,127.59381233141572,68.73213340875915,-7.649247172155434,165.83384955033245,152.90026633148602,159.36705794090926,171.58322318601006,144.84816820660134,158.21569569630572,149.24132561212764,4.423964762114481,5.134562357361308,2220468.6260825,1482.174739398925,24.436559976438534,1.0720252083624664,0.9170147904621216,0.1550104179003448,45.53207530844294,62.78149092555506,-17.24941561711212,3.331892395019537,27.384192053914937,0.0084372134685958,1.9618691756733413,1.3965326923016423,0.5653364833716992,-4.067097789710558,-6.704337732808341,2.637239943097783,4.170524465912212,19.60590651958939,158.21569569630572,158.21569569630572,158.21569569630572,152.2302327616363,168.98951721191406,4611051.0,166.89462280273438,6517373.0,160.3105926513672,6329853.0,148.53919982910156,1473784.0,162.3556365966797,1711099.0,0.0032468022050227,0.0158397550615738,0.0575607634220642,0.1413700420096633,0.0442396476211448,0.0513456235736131,0.0303749118403596,0.0246149556358223,0.0210214841040583,20.998992919921875,7.18255615234375,8.2799072265625,5.2871606654572645,21.8526225057626,0.2044143618165398,0.0,11215.4501953125
2020-07-24,166.99437525892975,169.3386871790003,163.25346169827438,168.3411102294922,1801357,161.52186303710937,156.56260821533203,148.54627850341797,3.5276275979258447,102.02509697443875,63.72780707937232,-12.126823599259252,166.09155856150136,153.05322936055774,159.57239396102955,171.58322318601006,144.84816820660134,158.21569569630572,149.34787669793886,5.666898802258883,4.070329427348272,2207749.527564519,1482.174739398925,24.53756676898079,1.024252049088327,0.9447885193453492,0.0794635297429777,44.886376302422654,57.74354405108667,-12.857167748664018,2.7533157348632926,53.05168583395756,0.0237039365985369,2.1991384841170243,1.557053850664719,0.6420846334523054,-8.018015916701406,-6.967073378653628,-1.0509425380477788,4.16683484488717,9.528820431801153,158.21569569630572,158.21569569630572,158.21569569630572,152.80384257281008,169.53819274902344,2199241.0,168.98951721191406,4611051.0,166.89462280273438,6517373.0,151.232666015625,2222846.0,159.31300354003906,1950837.0,-0.0070608427524254,-0.0038369657072205,0.0086670702894215,0.1131266456157003,0.0566689880225887,0.0407032942734826,0.0295856413314972,0.0247129427650375,0.0210640580498891,17.108444213867188,9.028106689453123,6.58404541015625,6.284731050749059,22.233341678720908,0.2225466889374789,0.0,11194.150390625
2020-07-27,168.24132113539122,168.64036098825218,162.60501830732903,165.54786682128906,1156539,161.52186303710937,156.56260821533203,148.54627850341797,1.9661961183025896,74.75152870694792,54.28937697505942,-22.57469217613136,166.35259078963037,153.38907987448667,159.87083533205853,171.58322318601006,144.84816820660134,158.21569569630572,149.41031201296784,6.344107965095855,3.8810582949628434,2188559.3551005507,1482.174739398925,24.69496186604241,0.98849384891713,1.0083683836840396,-0.0198745347669094,43.52595216487795,53.27188593644589,-9.745933771567934,-0.5985656738281193,76.52584291697877,0.0311665182383345,2.219463539881062,1.6895357885079876,0.5299277513730742,-12.931170993791753,-8.159892934611404,-4.771278059180348,4.194893384648623,-4.721031451660551,158.21569569630572,158.21569569630572,158.21569569630572,152.80384257281008,168.3411102294922,1801357.0,169.53819274902344,2199241.0,168.98951721191406,4611051.0,160.3105926513672,6329853.0,155.671875,2585981.0,-0.0165927586220336,-0.0235364425149999,-0.0203660584834333,0.0326695453076613,0.0634410796509585,0.0388105829496283,0.0289687986752324,0.0247812933959089,0.0212584837081002,5.237274169921875,9.875991821289062,6.184967041015625,6.035342680923151,22.446124780544032,0.2386737096767093,0.0,11131.7998046875
2020-07-28,165.89703843446622,174.47619048210402,163.40309623076652,173.1294708251953,4829045,164.7835419921875,159.62038262939453,151.27445379638672,8.672529535031865,119.42390633038802,64.66619089054396,-4.545425423222431,167.07084712896153,153.8878694942647,160.4793583116131,174.47619048210402,144.84816820660134,159.6621793443527,149.74072286128325,15.893162932248304,11.072015722474363,2409715.372450907,1550.0539706719344,24.9206421634312,1.0162276981592917,0.937119707339638,0.0791079908196535,49.226444682653245,50.28265940250173,-1.0562147198484837,-5.1025993347167855,88.26292145848939,0.064759380029382,2.579526646879182,1.8675339601822265,0.7119926866969557,-7.800161749502258,-8.0879466960006,0.2877849464983422,4.181524977749237,21.50869024917713,159.6621793443527,159.6621793443527,159.6621793443527,154.25032622085706,165.54786682128906,1156539.0,168.3411102294922,1801357.0,169.53819274902344,2199241.0,166.89462280273438,6517373.0,149.3871307373047,2352010.0,0.0457970504210161,0.0284443923957455,0.0211827082614253,0.037357992233401,0.1589316293224831,0.1107201572247436,0.0261408183199819,0.025913890543201,0.0212855526373542,6.2348480224609375,23.742340087890625,17.258102416992188,11.073094251337494,23.341113014460547,0.2618006577542343,0.0,11300.5498046875
2020-07-29,173.5783825479672,190.38755959033284,171.63311061549967,178.66603088378906,15392378,169.01347387695313,163.04197674560547,153.38941973876953,14.770912140545017,199.64936353840235,77.20191883552572,-25.739317874878715,169.01362896833095,154.24949131331488,161.6315601408229,190.38755959033284,144.84816820660134,167.61786389846708,151.20162156491415,21.21829539478316,13.606100488856052,2901952.9148830823,1599.623618530166,25.25537055000449,1.0861541654312323,0.7665934494645685,0.3195607159666638,60.4513361258485,49.571076137594666,10.880259988253831,-12.45724563598634,94.13146072924472,0.1151482269255254,3.093084475664608,2.1126440632787027,0.9804404123859052,15.4965642484001,-3.371044423780013,18.86760867218011,4.512302537698484,30.082774784591933,169.51325977243528,167.61786389846708,168.56556183545118,162.20601077497145,173.1294708251953,4829045.0,165.54786682128906,1156539.0,168.3411102294922,1801357.0,168.98951721191406,4611051.0,147.3919677734375,2180415.0,0.0319793044604397,0.0792409127002597,0.0613333287408011,0.0572610291544923,0.2121829539478315,0.1360610048885604,0.0245273122944072,0.0265746801045605,0.0213808999152971,9.676513671875,31.27406311035156,21.39804077148437,18.754448974833167,25.459214215335056,0.2949355082587889,0.0,11202.849609375
2020-07-30,178.7657772759747,180.9105767421484,172.83019777063907,174.62583923339844,3403335,169.01347387695313,163.04197674560547,153.38941973876953,16.894834495801174,137.77062914532053,74.8800991163229,-34.61117919675388,170.08186790393995,154.98852957765683,162.53519874079842,190.38755959033284,144.84816820660134,167.61786389846708,151.46287909248275,17.562124633975593,10.651076370682896,2824992.982530716,1599.623618530166,25.27293125181699,1.1192821577143846,0.8396748961290044,0.2796072615853802,70.01511029627494,50.94299760557607,19.072112690698876,-15.292867279052729,97.06573036462235,0.1547645378963383,3.257805703611452,2.3416763913452527,0.9161293122661988,11.377642720923893,-0.4213069531453522,11.798949674069243,4.617454154696073,27.73263487417345,171.05950034208232,167.61786389846708,169.3386821202747,162.25587361879224,178.66603088378906,15392378.0,173.1294708251953,4829045.0,165.54786682128906,1156539.0,169.53819274902344,2199241.0,148.53919982910156,1473784.0,-0.0226130934369864,0.0086430600236395,0.0548359371003503,0.0300088517040317,0.1756212463397559,0.1065107637068289,0.0278286559747617,0.0273712936056784,0.0217154044233672,5.087646484375,26.086639404296875,16.809173583984375,8.080378971509333,27.426022473289954,0.3275050117550597,0.0,11102.150390625
