Date,Average_Sentiment
2026-01-23,0.4212
2025-12-26,0.9926
2025-12-24,0.2732
2025-12-03,0.9607
2025-12-01,0.9783
2025-11-25,0.945
2025-11-24,0.9738
2025-11-19,0.9735
2025-10-09,-0.1779
2025-10-08,0.9788
2025-08-27,0.9674
2025-07-22,0.9442
2025-07-15,0.97385
2025-07-14,0.9539
2025-06-30,0.9325
2025-06-25,0.9813
2025-06-15,-0.9709
,0.9509
2025-05-31,0.9836
2025-05-30,0.0762
2025-05-19,0.9908
2025-05-05,0.8368
2025-05-02,0.9922
2025-04-30,0.9752
2025-04-09,0.9946
2025-04-02,0.4939
2025-03-28,0.9977
2025-03-27,0.7574
2025-03-17,-0.9984
2025-03-13,0.9966
2025-03-11,0.9726
2025-03-04,-0.836
2025-03-02,0.9648
2025-02-28,0.9625
2025-02-26,0.9977
2025-02-19,0.6602
2025-02-17,0.9947
2025-02-11,0.5456
2025-01-28,0.9702
2025-01-27,0.9756
2025-01-19,0.9926
2025-01-14,0.9607
2025-01-03,0.9436
2024-12-27,0.999
2024-12-20,0.0952
2024-12-12,0.9731000000000001
2024-12-11,0.9493
2024-12-10,0.11285
2024-11-29,0.8522333333333333
2024-11-28,0.9382
2024-11-26,-0.4767
2024-11-25,0.9836
2024-11-23,0.98515
2024-11-21,0.4121666666666666
2024-10-30,0.9967
2024-10-25,0.8895
2024-10-22,-0.7391
2024-10-16,0.8516
2024-10-10,0.9851
2024-10-08,0.9597
2024-10-07,0.9788
2024-10-03,0.9949
2024-09-28,0.0653
2024-09-27,0.8176
2024-09-15,0.952
2024-09-13,-0.9393
2024-09-12,0.4404
2024-09-11,-0.2406
2024-09-08,0.8151
2024-09-06,0.9927
2024-09-02,0.2057
2024-08-26,0.9893
2024-08-23,0.30345
2024-08-19,-0.128
2024-08-13,0.9774
2024-08-12,0.057650000000000035
2024-08-11,0.3633333333333333
2024-08-02,0.3612
2024-08-01,0.9983
2024-07-31,0.9846
2024-07-29,0.994
2024-07-21,0.546
2024-07-15,0.98565
2024-07-07,0.991
2024-07-05,0.985
2024-07-02,0.60315
2024-07-03,0.969
2024-06-27,0.8311
2024-06-26,0.875
2024-06-25,0.7874
2024-06-24,0.81275
2024-06-16,0.9939
2024-06-03,0.9983
2024-05-28,0.9829
2024-05-24,0.9812
2024-05-06,0.8885
2024-05-02,0.9964
2024-04-22,-0.953
2024-04-18,0.9789
2024-04-16,0.9825
2024-04-10,0.8625
2024-04-03,0.9944
2024-04-04,0.9939
2024-03-28,0.9672
2024-03-26,0.9962
2024-03-18,0.9359500000000001
2024-03-15,0.9967
2024-02-28,0.9924
2024-02-27,0.959
2024-02-09,0.0772
2024-01-29,0.9538
2024-01-25,0.9915
2024-01-24,0.9493
2024-01-23,0.9366
2024-01-18,0.9912
2024-01-17,0.899
2024-01-16,0.9729
2024-01-10,0.9943
2024-01-03,0.9531333333333335
2023-12-31,0.9945
2023-12-29,0.9946
2023-12-27,0.6428
2023-12-18,0.9761
2023-12-17,0.9854
2023-12-16,0.9524
2023-12-09,0.9843
2023-12-05,0.99375
2023-12-04,0.9947
2023-12-01,0.8873
2023-11-13,0.9865
2023-10-23,0.88075
2023-10-20,0.5859
2023-10-17,0.9895
2023-10-14,-0.6621
2023-10-13,0.994
2023-10-03,0.9916
2023-09-19,0.9984
2023-09-16,0.9423
2023-09-08,0.872
2023-09-01,0.9257500000000001
2023-08-31,0.8625
2023-08-23,-0.9678
2023-08-22,0.9022
2023-08-14,0.7003
2023-08-11,-0.743
2023-08-10,0.7351
2023-08-08,0.7351
2023-08-02,0.93
2023-07-17,0.9578
2023-07-14,0.9894
2023-07-09,-0.7584
2023-07-10,0.9976
2023-06-28,0.8317
2023-06-27,-0.25
2023-06-26,0.9972
2023-06-23,0.7906
2023-06-07,0.9651
2023-06-06,0.6124
2023-05-31,0.8573
