Price,Open,High,Low,Close,Volume,Fib_23.6,Fib_38.2,Fib_61.8,ROC,CCI,MFI,Williams_R,Keltner_hband,Keltner_lband,Keltner_mband,Donchian_hband,Donchian_lband,Donchian_mband,VWAP,CMF,Force_Index,Ultimate_Oscillator,ROC_10,ROC_20,PVT,NVI,PVI,Typical_Price,Mass_Index,Vortex_Pos,Vortex_Neg,Vortex_Diff,KST,KST_Signal,KST_Diff,DPO,STC,Coppock_Curve,PPO,PPO_Signal,PPO_Hist,PVO,PVO_Signal,PVO_Hist,NATR,CMO,EOM,VPT,Fisher,Ichimoku_Conversion,Ichimoku_Base,Ichimoku_A,Ichimoku_B,Close_Lag_1,Volume_Lag_1,Close_Lag_2,Volume_Lag_2,Close_Lag_3,Volume_Lag_3,Close_Lag_5,Volume_Lag_5,Close_Lag_10,Volume_Lag_10,Pct_Change_1,Pct_Change_2,Pct_Change_3,Pct_Change_5,Pct_Change_10,Pct_Change_20,Volatility_10,Volatility_20,Volatility_50,Momentum_5,Momentum_10,Momentum_20,TR,ADX,DMP,DMN,Parabolic_SAR,TRIX
Ticker,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-17,149.3871426388726,153.52708073679955,148.63895995453768,151.232666015625,2222846,160.14998315429688,155.45289385986328,147.86033856201172,-3.837604901270676,-116.73580556804772,49.740597358549785,-74.85256655093576,164.45137159368994,151.47289787848652,157.96213473608822,170.2364805357178,144.848153326976,157.54231693134687,148.23891193030133,-0.2151566166228281,557378.2956668162,32.77997852831631,-5.249995411244287,-0.7203575483281843,1507821.3846186565,842.6629299030221,1343.0824120837678,151.1329022356541,24.457672791438338,0.9009489380754474,1.107354434665727,-0.2064054965902795,57.667820243828395,85.12557662958282,-27.45775638575443,0.491318511962902,0.0,-0.04678905359825101,0.17831734754006698,1.4094888212104848,-1.2311714736704178,-19.16023938713111,-11.235359273593334,-7.924880113537776,4.349782100939882,-20.554785513050838,844.5800146322846,1507821.3846186565,-0.9999289692829524,157.54231693134687,155.44741371940995,156.4948653253784,148.61399789996844,148.5391845703125,1473784.0,147.3919677734375,2180415.0,149.38714599609375,2352010.0,159.31300354003906,1950837.0,159.6123046875,4481657.0,0.018133137414912293,0.02605771739265461,0.012353941212448705,-0.05071988691986018,-0.052499954112442904,-0.007203575483281877,0.023609255121770593,0.021564695718300282,0.018876918150897554,-8.080337524414062,-8.379638671875,-1.097320556640625,4.987896166487047,19.95336227770264,21.982131926542888,22.660635839313017,165.88600459537838,0.22797452472900598
2020-07-20,152.77888458209603,161.5076817963937,151.7314410938318,160.3105926513672,6329853,160.14998315429688,155.45289385986328,147.86033856201172,1.5802684663819497,-5.064114775738838,61.07091514008601,-39.09626578679388,164.9809198486857,151.2841910788241,158.1325554637549,170.2364805357178,144.848153326976,157.54231693134687,148.45257930421593,-0.1410832695344491,8686601.560433354,42.72010022613913,-2.1315543939898665,3.9120798300315283,1887778.5900487038,842.6629299030221,1423.7025844570592,157.8499051805309,24.333946835795302,0.9504085473797419,1.0134187311265621,-0.06301018374682021,51.727324326868086,80.01560063783643,-28.288276310968342,1.9851890563964787,0.020417462668476157,-0.044362083357095836,0.4684691067852398,1.2212848783254358,-0.752815771540196,-9.432533318842287,-10.874794052265564,1.4422607334232769,4.2681790783682265,9.834267366027802,855.0997700545763,1887778.5900487038,-0.3702050833957415,156.96870660883343,156.3202810813632,156.6444938450983,149.96073992230217,151.232666015625,2222846.0,148.5391845703125,1473784.0,147.3919677734375,2180415.0,155.671875,2585981.0,163.8021240234375,3515662.0,0.06002622895508747,0.07924783022814141,0.08764809285800057,0.029798045737980505,-0.02131554393989865,0.03912079830031523,0.030116184956078054,0.025316297747817698,0.02046909807276128,4.6387176513671875,-3.4915313720703125,6.035369873046875,10.275015780768712,19.673052350456427,27.954045994291636,20.230529209650015,164.2029764939062,0.19809763436302993
2020-07-21,161.05877697032676,167.69267205632772,158.71448054110812,166.8946075439453,6517373,160.14998315429688,155.45289385986328,147.86033856201172,4.562494646451668,99.09625181067496,68.39751597581495,-13.163029467423087,165.44978030766,151.47871797327252,158.46424914046628,170.2364805357178,144.848153326976,157.54231693134687,148.8102086118225,-0.0465741982390231,13575727.1792981,50.471766425473945,-0.5054954551346631,6.424929281009324,2155449.4917825987,842.6629299030221,1482.1745722629585,164.43392004712703,24.246488848836673,1.0212533098528427,0.8888283184085286,0.13242499144431408,46.82041179645264,74.08681458990364,-27.266402793451,5.671232604980474,4.3078987631385965,-0.030336291573772,1.0245572921694046,1.1819393610942295,-0.15738206892482487,-2.0226653549514126,-9.104368193476267,7.081702838524855,4.191210174225534,19.1278484543459,906.9995885568892,2155449.4917825987,0.3348974425964276,156.27041269165187,156.3202810813632,156.29534688650753,151.55686143649018,160.3105926513672,6329853.0,151.232666015625,2222846.0,148.5391845703125,1473784.0,149.38714599609375,2352010.0,167.74253845214844,8172143.0,0.041070367114770745,0.10356189532955895,0.1235729348234309,0.11719523410875898,-0.005054954551346635,0.06424929281009328,0.032148094805624486,0.02660905993162086,0.021008895681282523,17.507461547851562,-0.847930908203125,10.075515747070312,8.978191515219606,20.169001276019824,31.70624891482252,18.37614896343783,144.848153326976,0.1867464127784893
2020-07-22,166.5953387910679,171.58322318601006,161.60745439612575,168.98951721191406,4611051,161.1026749267578,156.22352673339844,148.33668444824218,3.1668656431673186,129.50188965008093,70.03528910980273,-9.701511863525411,166.00842362049133,151.98748239507455,158.9979530077829,171.58322318601006,144.848153326976,158.21568825649302,149.0998398695581,0.015528640957655876,13016299.770740796,56.14786460036604,3.9263895908612243,9.431523883960994,2213328.7454118896,853.2402801522079,1482.1745722629585,167.39339826468327,24.328421263146844,1.0489942897927376,0.8746776554948258,0.17431663429791178,46.30193920766226,68.25664401632271,-21.954704808660452,8.883415985107433,13.241323500517414,-0.013923078923290534,1.5482342709742873,1.2551983430702411,0.2930359279040462,-0.4007664660557869,-7.363647754132711,6.962881288076924,4.26524841328074,21.53844524701922,733.7901579029422,2213328.7454118896,0.7953999531728548,158.21568825649302,157.3428092105244,157.77924873350872,152.2302327616363,166.8946075439453,6517373.0,160.3105926513672,6329853.0,151.232666015625,2222846.0,147.3919677734375,2180415.0,162.60501098632812,3650115.0,0.012552290926578502,0.05413818523783531,0.1174141252952221,0.14653138678272537,0.039263895908612234,0.09431523883961002,0.030438713628005314,0.026304434259475134,0.02103306587879435,21.597549438476562,6.3845062255859375,14.564620971679688,9.975768789884313,21.041993546813604,32.42716891690449,16.559839427334616,145.30504370156302,0.19049121934851185
2020-07-23,167.94207882668817,170.28637543125373,164.99921476579647,169.53819274902344,2199241,161.52186303710937,156.56260821533203,148.54627850341797,1.0704823674689068,127.59384187077832,68.73213290443434,-7.649242914903339,165.8338487841471,152.90026562270117,159.36705720342414,171.58322318601006,144.848153326976,158.21568825649302,149.24132521406665,0.026430647031272094,11329209.765907533,62.84696572533313,4.423964762114481,5.134562357361308,2220469.245940066,856.0105825752204,1482.1745722629585,168.27459431535786,24.436559967010318,1.0720250376307385,0.917014643549017,0.15501039408172157,45.5320696094092,62.781493292665836,-17.249423683256637,3.331893157958973,27.38417241268914,0.008437179022701373,1.9618686792143545,1.396532410299064,0.5653362689152905,-4.067097789710558,-6.704337732808341,2.637239943097783,4.170524907345178,19.60590651958939,251.81732186571634,2220469.245940066,1.190483029211926,158.21568825649302,158.21568825649302,158.21568825649302,152.2302327616363,168.98951721191406,4611051.0,166.8946075439453,6517373.0,160.3105926513672,6329853.0,148.5391845703125,1473784.0,162.3556365966797,1711099.0,0.003246802205022714,0.01583984793745974,0.05756076342206429,0.14137015925767948,0.04423964762114485,0.051345623573613164,0.03037489630404715,0.024614946536416545,0.02102148225163581,20.999008178710938,7.18255615234375,8.2799072265625,5.2871606654572645,21.8526292268364,30.69547725073801,15.675502715645262,146.3561708809409,0.20441432821577368
2020-07-24,166.99436012221156,169.33867182978878,163.25344690064037,168.34109497070312,1801357,161.52186303710937,156.56260821533203,148.54627850341797,3.5276182139659227,102.0249379937498,63.727806728105485,-12.126873924031973,166.09155701097657,153.05322792259113,159.57239246678384,171.58322318601006,144.848153326976,158.21568825649302,149.34787621134484,0.11436931386502432,9402694.018969066,68.581895054038,5.66688922439096,4.0703199941967245,2207749.985296218,849.9663494145163,1482.1745722629585,166.97773790037743,24.53756674153406,1.0242515719709666,0.9447883783326423,0.07946319363832433,44.88636222547827,57.74354428007367,-12.857182054595398,2.753317260742193,53.051645172933405,0.023703871527172845,2.1991373749854835,1.5570534032363479,0.6420839717491356,-8.018015916701406,-6.967073378653628,-1.0509425380477788,4.166836263271021,9.528785346224344,-454.9453471641749,2207749.985296218,1.2538126964830187,158.21568825649302,158.21568825649302,158.21568825649302,152.80384257281008,169.53819274902344,2199241.0,168.98951721191406,4611051.0,166.8946075439453,6517373.0,151.232666015625,2222846.0,159.31300354003906,1950837.0,-0.007060932754500038,-0.003837056001514072,0.008667071081831956,0.1131265447195815,0.056668892243909585,0.04070319994196736,0.02958562978620429,0.024712935488369555,0.021064057150662268,17.108428955078125,9.028091430664062,6.5840301513671875,6.284745848383068,22.233344539711684,28.731359144665248,16.449898816013704,147.36525297314367,0.22254663179647277
2020-07-27,168.24133664243993,168.64037653208098,162.60503329487145,165.54788208007812,1156539,161.52186303710937,156.56260821533203,148.54627850341797,1.966205516676051,74.75174752306543,54.289376253509815,-22.57462253794159,166.35259003008926,153.38907917187512,159.87083460098216,171.58322318601006,144.848153326976,158.21568825649302,149.41031158688844,0.122431671779241,7597957.78150055,66.20041688349072,6.344117766987855,3.881067869831952,2188560.0207550423,835.8632157489353,1482.1745722629585,165.59776396901017,24.694961841256582,0.9884936887505053,1.008367897115906,-0.01987420836540077,43.52595004837407,53.2718846104452,-9.745934562071128,-0.5985649108886832,76.5258225864667,0.03116649392249902,2.219463469429845,1.6895354164750476,0.5299280529547974,-12.931170993791753,-8.159892934611404,-4.771278059180348,4.194894004664066,-4.721000177576226,-351.3867873495018,2188560.0207550423,1.1743222395872086,158.21568825649302,158.21568825649302,158.21568825649302,152.80384257281008,168.34109497070312,1801357.0,169.53819274902344,2199241.0,168.98951721191406,4611051.0,160.3105926513672,6329853.0,155.671875,2585981.0,-0.016592578841851502,-0.023536352512925407,-0.020365968189139827,0.03266964049032395,0.06344117766987845,0.038810678698319556,0.02896877115721126,0.02478127894780354,0.021258479322121535,5.2372894287109375,9.876007080078125,6.1849822998046875,6.035343237209531,22.44613058292834,26.948077519623638,16.095723996266432,148.33397178165833,0.2386736591918116
2020-07-28,165.89703843446622,174.47619048210402,163.40309623076652,173.1294708251953,4829045,164.78354559326172,159.62038845825197,151.27446322631835,8.672529535031865,119.42393167163459,64.66619033649286,-4.5454231404445675,167.0708463694204,153.88786879165312,160.47935758053677,174.47619048210402,144.848153326976,159.66217190454,149.74072244193147,0.22153891235433465,11742797.13009539,70.7171449602666,15.893151094621214,11.072015722474363,2409715.5726210256,835.8632157489353,1550.0536530109205,170.33625251268862,24.92064214219664,1.0162273820234704,0.9371194153627794,0.07910796666069098,49.22643531873046,50.28265571624462,-1.05622039751416,-5.102598571777349,88.26291129323334,0.0647593591202331,2.579526636801738,1.8675336605403858,0.7119929762613522,-7.800161749502258,-8.0879466960006,0.2877849464983422,4.181525871574975,21.508703663799487,760.5804461290022,2409715.5726210256,1.5442179817762058,159.66217190454,159.66217190454,159.66217190454,154.25032622085706,165.54788208007812,1156539.0,168.34109497070312,1801357.0,169.53819274902344,2199241.0,166.8946075439453,6517373.0,149.38714599609375,2352010.0,0.04579695402838113,0.028444485616097026,0.02118270826142532,0.03735808707664967,0.15893151094621216,0.1107201572247436,0.026140795278017916,0.02591386826542178,0.02128554435948338,6.23486328125,23.742324829101562,17.258102416992188,11.073094251337494,23.34111948514888,29.76147503671517,14.337446996670142,149.2639418378324,0.26180061459193255
