Date,Open,High,Low,Close,Volume,SMA_50,EMA_12,EMA_26,RSI,MACD,ADI,OBV,SO_K,SO_D,ADX,BB_High,BB_Low,ATR,VWAP
2020-04-01,69.46746717114614,70.60062594058955,66.5606754526072,66.9548110961914,38149007,,,,,,-30705409.128802974,38149007.0,,,0.0,,,0.0,68.0387041631294
2020-04-03,65.9202008562128,65.9202008562128,63.85095843387514,64.34363555908203,35346301,,,,,,-49220125.994060434,2802706.0,,,0.0,,,0.0,66.4353837456874
2020-04-07,67.54603148461406,68.2850471134713,65.92019559759699,66.26506805419922,42066469,,,,,,-79017269.49330226,44869175.0,,,0.0,,,0.0,66.57664175785378
2020-04-08,65.52605150496018,70.55135620707262,64.44216343472505,66.60993957519531,82179303,,,,,,-102875829.00973377,127048478.0,,,0.0,,,0.0,66.8361826915806
2020-04-09,68.5806522946852,75.13325936945405,68.08797518406583,73.5074234008789,112677273,,,,,,-42203488.234981194,239725751.0,,,0.0,,,0.0,68.7987360558143
2020-04-13,74.88692178950969,76.46348706049443,71.63524981000796,73.16255187988281,70409900,,,,,,-68068275.62733279,169315851.0,,,0.0,,,0.0,69.71485229201953
2020-04-15,74.29570661498468,77.5473708957413,70.89623018616157,71.83232116699219,81121081,,,,,,-126355164.54056576,88194770.0,,,0.0,,,0.0,70.36643052480358
2020-04-16,70.69916528906616,74.29570969580422,69.96014962402366,73.55669403076172,47910164,,,,,,-94778005.33097768,136104934.0,,,0.0,,,0.0,70.57670641056774
2020-04-17,77.1532324350224,77.1532324350224,73.60595150466993,75.7244644165039,58333485,,,,,,-83435451.92795552,194438419.0,,,0.0,,,0.0,71.08159635443661
2020-04-20,75.72447009567908,82.1785432260314,74.39424340586048,79.27174377441406,125425355,,,,,,-51682324.75972065,319863774.0,,,0.0,,,0.0,72.44381552001153
2020-04-21,76.85762916442035,76.85762916442035,72.91621228419366,73.55669403076172,58248325,,,,,,-90999899.6947754,261615449.0,,,0.0,,,0.0,72.59873522331965
